Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
01.01.2022;00:00;01:00;43.915,5;12.452,25;2.539,25
01.01.2022;01:00;02:00;41.535,75;11.480;2.866,25
01.01.2022;02:00;03:00;40.480,75;11.818,75;3.203,75
01.01.2022;03:00;04:00;39.564;12.183;3.708
01.01.2022;04:00;05:00;39.338,25;13.256,75;3.910
01.01.2022;05:00;06:00;38.826,5;14.800,75;3.244,5
01.01.2022;06:00;07:00;38.413;14.722,75;2.701,5
01.01.2022;07:00;08:00;39.086,75;16.280,25;2.245
01.01.2022;08:00;09:00;40.305;19.239,5;2.055,75
01.01.2022;09:00;10:00;42.511;20.682,25;1.635
01.01.2022;10:00;11:00;44.382,5;21.962;1.345
01.01.2022;11:00;12:00;46.732,25;23.928,5;1.520,5
01.01.2022;12:00;13:00;47.314,75;24.236,5;708,5
01.01.2022;13:00;14:00;46.391,75;25.149,75;1.040,25
01.01.2022;14:00;15:00;45.729,25;26.907,25;762
01.01.2022;15:00;16:00;45.663;29.048;475,5
01.01.2022;16:00;17:00;47.864;31.050,25;100,25
01.01.2022;17:00;18:00;51.405;32.532,5;9,5
01.01.2022;18:00;19:00;52.287,75;31.339,5;8
01.01.2022;19:00;20:00;51.321,25;28.326,75;76
01.01.2022;20:00;21:00;49.466;25.280;115,75
01.01.2022;21:00;22:00;48.009,25;23.176;174,25
01.01.2022;22:00;23:00;47.437,25;22.176,5;515
01.01.2022;23:00;00:00;44.832;19.104,75;591,5
02.01.2022;00:00;01:00;42.674,25;16.858,75;3.821,75
02.01.2022;01:00;02:00;41.513,25;15.927,25;4.628,25
02.01.2022;02:00;03:00;40.795,5;16.057;4.518
02.01.2022;03:00;04:00;40.566,5;15.473,5;4.315,5
02.01.2022;04:00;05:00;40.742,5;16.749,75;4.509
02.01.2022;05:00;06:00;40.775,5;16.455,25;4.213,25
02.01.2022;06:00;07:00;40.405,75;15.587,25;2.421,25
02.01.2022;07:00;08:00;42.254,25;16.387,25;1.752,5
02.01.2022;08:00;09:00;45.418,25;17.009,25;1.401
02.01.2022;09:00;10:00;48.344;17.672,25;1.131,75
02.01.2022;10:00;11:00;50.584;16.092,5;899
02.01.2022;11:00;12:00;53.645,75;15.650;744,25
02.01.2022;12:00;13:00;54.538,5;14.036,5;873,5
02.01.2022;13:00;14:00;53.342,75;12.908,25;1.526,75
02.01.2022;14:00;15:00;52.709;12.333,5;1.690,75
02.01.2022;15:00;16:00;53.245,75;13.037,5;2.045,5
02.01.2022;16:00;17:00;55.536,5;14.897,25;1.803,25
02.01.2022;17:00;18:00;58.611,75;16.726,5;850,75
02.01.2022;18:00;19:00;58.765,5;16.320;394
02.01.2022;19:00;20:00;57.348,5;16.013,5;977
02.01.2022;20:00;21:00;54.782,25;14.210,25;1.481,5
02.01.2022;21:00;22:00;52.456;13.593,75;1.346,75
02.01.2022;22:00;23:00;50.894,75;14.458;2.137
02.01.2022;23:00;00:00;47.862,25;12.186,75;2.035
03.01.2022;00:00;01:00;45.379,75;10.537,25;3.645,25
03.01.2022;01:00;02:00;43.676,75;11.150;4.641
03.01.2022;02:00;03:00;42.606,5;10.836;4.638,5
03.01.2022;03:00;04:00;43.139,25;12.233,25;4.677
03.01.2022;04:00;05:00;44.606,25;12.013,25;3.615
03.01.2022;05:00;06:00;48.399,25;11.577,5;1.599,25
03.01.2022;06:00;07:00;55.425,75;13.166,25;1.197,75
03.01.2022;07:00;08:00;61.601;18.095;539,5
03.01.2022;08:00;09:00;65.032,75;22.386,5;259,25
03.01.2022;09:00;10:00;66.440,75;23.160,5;67,5
03.01.2022;10:00;11:00;67.857;22.828,5;106,75
03.01.2022;11:00;12:00;69.433,5;22.446,75;487,25
03.01.2022;12:00;13:00;70.097,25;23.104,75;749,25
03.01.2022;13:00;14:00;69.303;23.996;680,5
03.01.2022;14:00;15:00;68.287,5;25.377,5;696,25
03.01.2022;15:00;16:00;67.281;27.626,25;105,5
03.01.2022;16:00;17:00;67.884,75;29.576;252
03.01.2022;17:00;18:00;70.147,75;32.423;209
03.01.2022;18:00;19:00;69.958,25;32.272,5;8,25
03.01.2022;19:00;20:00;68.037,5;31.780,25;31
03.01.2022;20:00;21:00;64.029,75;30.049;267,25
03.01.2022;21:00;22:00;60.208,5;27.837,5;1.720,5
03.01.2022;22:00;23:00;57.344;27.054,25;2.553
03.01.2022;23:00;00:00;53.664,5;25.406,25;2.374,25
04.01.2022;00:00;01:00;50.704,25;24.073,5;4.076,5
04.01.2022;01:00;02:00;48.451;23.408,25;4.969,5
04.01.2022;02:00;03:00;47.652,75;24.809;4.603
04.01.2022;03:00;04:00;48.125;27.032,75;4.138,25
04.01.2022;04:00;05:00;49.285,5;30.434,25;3.440,25
04.01.2022;05:00;06:00;52.020,25;34.365,25;2.606,25
04.01.2022;06:00;07:00;57.654,5;40.452,75;962,5
04.01.2022;07:00;08:00;62.532,25;45.966;442
04.01.2022;08:00;09:00;65.949;50.110,5;119,5
04.01.2022;09:00;10:00;67.254,5;52.091;1,5
04.01.2022;10:00;11:00;67.964;51.438,25;1
04.01.2022;11:00;12:00;69.348;51.868;4
04.01.2022;12:00;13:00;69.597;50.551,5;5,5
04.01.2022;13:00;14:00;68.648,25;48.426,5;371,25
04.01.2022;14:00;15:00;67.950;48.013,75;369,75
04.01.2022;15:00;16:00;67.794,75;47.489;331
04.01.2022;16:00;17:00;68.510;47.804,25;48,75
04.01.2022;17:00;18:00;69.951,25;48.430,75;15,5
04.01.2022;18:00;19:00;69.679,5;48.134,25;4
04.01.2022;19:00;20:00;68.272,25;46.147,75;58,25
04.01.2022;20:00;21:00;64.518,75;42.165,75;7,25
04.01.2022;21:00;22:00;61.368;39.237,75;248,5
04.01.2022;22:00;23:00;58.357,25;36.320,25;779,25
04.01.2022;23:00;00:00;54.923;32.333;2.260,25
05.01.2022;00:00;01:00;52.419,25;28.923,5;3.229,5
05.01.2022;01:00;02:00;50.542,5;25.450,5;5.065,5
05.01.2022;02:00;03:00;49.658,25;22.284,25;5.646,75
05.01.2022;03:00;04:00;50.656;21.059,25;5.408,5
05.01.2022;04:00;05:00;52.242,75;21.266;4.832,75
05.01.2022;05:00;06:00;55.517,75;22.665;4.089,75
05.01.2022;06:00;07:00;61.375,25;26.151,25;1.328
05.01.2022;07:00;08:00;66.916,5;29.992,75;709,75
05.01.2022;08:00;09:00;70.207,25;31.770,5;517,5
05.01.2022;09:00;10:00;71.655,5;31.010,25;227
05.01.2022;10:00;11:00;72.759;28.583,25;1.286,5
05.01.2022;11:00;12:00;74.354,25;27.346,5;1.520,5
05.01.2022;12:00;13:00;74.178,5;25.496;2.359,5
05.01.2022;13:00;14:00;73.454,5;25.007;1.645,5
05.01.2022;14:00;15:00;71.986;25.781,25;742,5
05.01.2022;15:00;16:00;71.186,75;28.074;241,75
05.01.2022;16:00;17:00;71.700,5;31.306;224,25
05.01.2022;17:00;18:00;73.590;35.096,25;242,75
05.01.2022;18:00;19:00;73.282,75;35.266;226,75
05.01.2022;19:00;20:00;71.410,25;34.178;906
05.01.2022;20:00;21:00;67.411,25;31.803,75;1.404
05.01.2022;21:00;22:00;64.088,75;30.413,5;2.655,75
05.01.2022;22:00;23:00;60.924,25;28.881,5;3.144
05.01.2022;23:00;00:00;57.453,25;26.588,75;3.072,25
06.01.2022;00:00;01:00;54.833,75;25.414;4.147,25
06.01.2022;01:00;02:00;53.614;26.216,5;3.775,5
06.01.2022;02:00;03:00;52.554,5;26.746,75;3.814,5
06.01.2022;03:00;04:00;52.058,5;28.571,25;3.659,75
06.01.2022;04:00;05:00;52.598,25;31.034,5;2.744
06.01.2022;05:00;06:00;54.319,75;34.781,5;1.716,75
06.01.2022;06:00;07:00;57.928,75;40.937;647,75
06.01.2022;07:00;08:00;62.216;48.066,5;131,25
06.01.2022;08:00;09:00;64.253,25;52.023,25;82,5
06.01.2022;09:00;10:00;65.343,75;52.714;5,5
06.01.2022;10:00;11:00;65.848,75;51.336,5;7,5
06.01.2022;11:00;12:00;66.439,5;50.114;188,75
06.01.2022;12:00;13:00;65.782,5;48.898,5;191
06.01.2022;13:00;14:00;64.468,5;48.604,5;419,75
06.01.2022;14:00;15:00;63.007,25;50.643,5;220,75
06.01.2022;15:00;16:00;62.445,75;54.011,25;183
06.01.2022;16:00;17:00;63.619,75;55.505,5;58,25
06.01.2022;17:00;18:00;67.355,5;55.455,5;42,5
06.01.2022;18:00;19:00;67.949;52.699,25;233
06.01.2022;19:00;20:00;67.029,25;48.425,75;890,75
06.01.2022;20:00;21:00;64.571,5;43.179;1.420,5
06.01.2022;21:00;22:00;61.741;38.922,75;973,75
06.01.2022;22:00;23:00;59.937,5;36.719,75;2.196
06.01.2022;23:00;00:00;57.181,25;33.027,75;3.740
07.01.2022;00:00;01:00;53.909,75;28.813,5;4.380,5
07.01.2022;01:00;02:00;52.328,75;26.300;5.286,5
07.01.2022;02:00;03:00;51.416;23.998,75;5.154,25
07.01.2022;03:00;04:00;51.584,75;22.964,25;5.248,25
07.01.2022;04:00;05:00;53.278,5;24.016,75;4.978,25
07.01.2022;05:00;06:00;56.068,75;26.013;3.930,25
07.01.2022;06:00;07:00;61.436,75;29.227,25;2.585,5
07.01.2022;07:00;08:00;66.663,75;33.227,5;1.571,5
07.01.2022;08:00;09:00;69.763;35.828,25;1.151
07.01.2022;09:00;10:00;71.572,75;37.235,25;395,5
07.01.2022;10:00;11:00;72.305;37.436;915,25
07.01.2022;11:00;12:00;73.103,25;37.834,5;885,25
07.01.2022;12:00;13:00;73.275,5;39.216,25;287,75
07.01.2022;13:00;14:00;71.417,25;39.205;305,25
07.01.2022;14:00;15:00;70.507,25;41.261,75;631,25
07.01.2022;15:00;16:00;69.881;43.341,25;122,25
07.01.2022;16:00;17:00;70.102,25;44.977,25;428
07.01.2022;17:00;18:00;71.542,75;46.675,25;15,5
07.01.2022;18:00;19:00;70.474,25;46.954,25;1
07.01.2022;19:00;20:00;68.051,75;45.237,5;1,25
07.01.2022;20:00;21:00;64.440;42.238,5;141,5
07.01.2022;21:00;22:00;61.454,25;39.972;326,25
07.01.2022;22:00;23:00;59.034,25;38.745;877,75
07.01.2022;23:00;00:00;55.817,75;36.910,75;1.372,25
08.01.2022;00:00;01:00;52.694,75;34.189;2.059,5
08.01.2022;01:00;02:00;50.532,5;32.715;2.594,5
08.01.2022;02:00;03:00;49.608,25;32.240,75;3.430
08.01.2022;03:00;04:00;49.543,25;32.387;3.131,5
08.01.2022;04:00;05:00;49.077,25;33.028;2.009,75
08.01.2022;05:00;06:00;49.137,75;32.616,75;2.091,25
08.01.2022;06:00;07:00;50.276;33.441;1.952
08.01.2022;07:00;08:00;52.476,25;35.560,25;498
08.01.2022;08:00;09:00;55.578,25;37.255,75;325,75
08.01.2022;09:00;10:00;59.370,75;39.736,25;171,5
08.01.2022;10:00;11:00;61.154;39.963,75;16,75
08.01.2022;11:00;12:00;62.648,75;39.045,75;197
08.01.2022;12:00;13:00;62.918,5;37.074,25;331,75
08.01.2022;13:00;14:00;62.020,5;34.324;545,5
08.01.2022;14:00;15:00;61.182;33.137;803,75
08.01.2022;15:00;16:00;61.419;34.031,5;533,75
08.01.2022;16:00;17:00;63.084,5;34.222,25;325,75
08.01.2022;17:00;18:00;66.666;35.154,5;87
08.01.2022;18:00;19:00;66.967;33.064,75;205,5
08.01.2022;19:00;20:00;64.981;29.338,25;557
08.01.2022;20:00;21:00;61.911,25;25.032,75;1.333,5
